M1,,,,M2,,,,m3,,,,m4,,,,m5,,,,m6,,,,m7,,,,m8,,,,m9,,,,m10,,,,m11,,,,m12,,,,m13,,,,,,,,,,,,,,,,,,
Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,,Filename,Width,Height,Repeat M's,,Filename,Width,Height,Repeat M's,,Filename,Width,Height,Repeat M's
--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ammoarcgun,16,32,,ammoarcgun,16,32,,ammoarcgun,16,32,,ammoarcgun,16,32,,ammoarcgun,16,32,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,,ammoarcgun,16,32,"m2,3,4,5,6",,ammoarcgun,32,64,"m7,8,9,10,11,12,13",,,,,
,,,,ammolasdes,16,32,,ammolasdes,16,32,,ammolasdes,16,32,,ammolasdes,16,32,,ammolasdes,16,32,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,,ammolasdes,16,32,"m2,3,4,5,6",,ammolasdes,32,64,"m7,8,9,10,11,12,13",,,,,
,,,,ammolaser,16,32,,ammolaser,16,32,,ammolaser,16,32,,ammolaser,16,32,,ammolaser,16,32,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,,ammolaser,16,32,"m2,3,4,5,6",,ammolaser,32,64,"m7,8,9,10,11,12,13",,,,,
ammolock,32,16,,ammolock,32,16,,ammolock,32,16,,ammolock,32,16,,ammolock,32,16,,ammolock,32,16,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,,ammolock,32,16,"m1,2,3,4,5,6",,ammolock,64,32,"m7,8,9,10,11,12,13",,,,,
,,,,ammosonic,16,32,,ammosonic,16,32,,ammosonic,16,32,,ammosonic,16,32,,ammosonic,16,32,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,,ammosonic,16,32,"m2,3,4,5,6",,ammosonic,32,64,"m7,8,9,10,11,12,13",,,,,
,,,,amphchip,16,32,,,,,,amphchip,16,32,,amphchip,16,32,,amphchip,16,32,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,,amphchip,16,32,"m2,4,5,6",,amphchip,32,64,"m7,8,9,10,11,12,13",,,,,
,,,,amphib01,32,64,,,,,,amphib01,32,64,,amphib01,32,64,,amphib01,32,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib01,32,64,"m2,4,5,6",,,,,,,,,,
,,,,amphib02,16,32,,,,,,amphib02,16,32,,amphib02,16,32,,amphib02,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib02,16,32,"m2,4,5,6",,,,,,,,,,
