M1,,,,M2,,,,m3,,,,m4,,,,m5,,,,m6,,,,m7,,,,m8,,,,m9,,,,m10,,,,m11,,,,m12,,,,m13,,
Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height
--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------
aztec02,64,64,,beach1,32,32,,bascone1,64,64,,abridg01,64,64,,alien01,32,32,,a1tpaccess,64,64,,canyon2,128,128,,lavahil1,64,64,,arrow1,64,64,,barrier1,128,128,,crate_dest,32,32,,tryard31,32,32,,cemcol8,32,128
aztec07,32,32,,bore01,32,32,,boil01,64,64,,bigbridg,64,64,,alien02,32,32,,a1_cave2,64,64,,minepit2,64,64,,lavahil2,64,64,,broad1,128,128,,barrier2,128,128,,icemound,256,128,,ven1,32,128,,cratercave,64,64
bar1,32,32,,bore02,16,16,,boil02,64,64,,brick03,32,32,,alien03,32,32,,a1_clif1,128,128,,,,,,mgat02,128,32,,bwall02,64,128,,bcourt01,128,64,,ice_ocean,256,128,,ven2,32,128,,nceil,32,32
bigwav01,32,32,,bore03,32,32,,boil03,64,64,,briklite,64,64,,alien04,32,32,,a1_ocean,32,32,,,,,,mgat03,128,32,,bwall03,64,128,,bcourt02,128,64,,m11crate01,128,64,,ven3,64,128,,tp1sc,128,128
bigwav02,32,32,,bore04,16,16,,boil07,32,32,,brpost,32,32,,alien05,32,32,,a1_rock1,64,64,,,,,,mgat04,128,32,,bwall05,64,64,,bhoop,64,64,,m11crate02,64,64,,ven31,32,32,,tp2sc,128,128
bigwav03,32,32,,bore05,16,16,,boil08,64,64,,cath01,64,64,,alien06,32,32,,a1_sand1,32,32,,,,,,mgat06,128,128,,bwall06,64,64,,bldg_a02,128,64,,m11sky,256,128,,ven4,64,128,,tp3sc,128,128
burnt1,32,32,,bore06,16,16,,boil10,64,64,,cath02,64,64,,alien07,32,32,,a1_sand2,32,32,,,,,,mgat07,128,128,,cembar1,64,32,,bldg_b02,64,64,,m11_berg,64,64,,ven41,32,32,,tp4sc,128,128
