M1,,,,M2,,,,m3,,,,m4,,,,m5,,,,m6,,,,m7,,,,m8,,,,m9,,,,m10,,,,m11,,,,m12,,,,m13,,
Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height
--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------,,--------,-----,------
ammolock,32,16,,ammoarcgun,16,32,,ammoarcgun,16,32,,abridg01,64,64,,alien01,32,32,,a1tpaccess,64,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64,,ammoarcgun,32,64
arcgun01,16,32,,ammolasdes,16,32,,ammolasdes,16,32,,ammoarcgun,16,32,,alien02,32,32,,a1_cave2,64,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64,,ammolasdes,32,64
arcgun02,16,32,,ammolaser,16,32,,ammolaser,16,32,,ammolasdes,16,32,,alien03,32,32,,a1_clif1,128,128,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64,,ammolaser,32,64
aztec01,64,64,,ammolock,32,16,,ammolock,32,16,,ammolaser,16,32,,alien04,32,32,,a1_ocean,32,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32,,ammolock,64,32
aztec02,64,64,,ammosonic,16,32,,ammosonic,16,32,,ammolock,32,16,,alien05,32,32,,a1_rock1,64,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64,,ammosonic,32,64
aztec03,32,32,,amphchip,16,32,,arcgun01,16,32,,ammosonic,16,32,,alien06,32,32,,a1_sand1,32,32,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64,,amphchip,32,64
aztec04,32,32,,amphib01,32,64,,arcgun02,16,32,,amphchip,16,32,,alien07,32,32,,a1_sand2,32,32,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64
